County, Age, Net Migration 2000-2010
DRCOG,0,0
DRCOG,1,0
DRCOG,2,0
DRCOG,3,0
DRCOG,4,0
DRCOG,5,0
DRCOG,6,471.8
DRCOG,7,0
DRCOG,8,259.1
DRCOG,9,741.4
DRCOG,10,5118.6
DRCOG,11,4098.8
DRCOG,12,4281.8
DRCOG,13,3621.2
DRCOG,14,3125.3
DRCOG,15,3183.1
DRCOG,16,3177
DRCOG,17,2563.4
DRCOG,18,2278.3
DRCOG,19,2056.6
DRCOG,20,1714.8
DRCOG,21,2440.6
DRCOG,22,2946.8
DRCOG,23,5067.5
DRCOG,24,7264.9
DRCOG,25,9679.1
DRCOG,26,10394.1
DRCOG,27,11034.5
DRCOG,28,12156.4
DRCOG,29,11730.7
DRCOG,30,12732
DRCOG,31,11233.3
DRCOG,32,9692.8
DRCOG,33,7680.3
DRCOG,34,6050.7
DRCOG,35,4509.7
DRCOG,36,4419.3
DRCOG,37,2512.7
DRCOG,38,1731.7
DRCOG,39,1370.6
DRCOG,40,1414.7
DRCOG,41,3339.6
DRCOG,42,2243.9
DRCOG,43,1665.7
DRCOG,44,757.2
DRCOG,45,0
DRCOG,46,384.2
DRCOG,47,511.7
DRCOG,48,71
DRCOG,49,105.3
DRCOG,50,0
DRCOG,51,1162
DRCOG,52,0
DRCOG,53,244.5
DRCOG,54,152.9
DRCOG,55,0
DRCOG,56,0
DRCOG,57,0
DRCOG,58,0
DRCOG,59,0
DRCOG,60,0
DRCOG,61,0
DRCOG,62,0
DRCOG,63,0
DRCOG,64,1080
DRCOG,65,0
DRCOG,66,0
DRCOG,67,0
DRCOG,68,0
DRCOG,69,0
DRCOG,70,0
DRCOG,71,0
DRCOG,72,62
DRCOG,73,0
DRCOG,74,0
DRCOG,75,0
DRCOG,76,401.5
DRCOG,77,34.2
DRCOG,78,8.7
DRCOG,79,274.8
DRCOG,80,158.4
DRCOG,81,399.6
DRCOG,82,495.2
DRCOG,83,349.3
DRCOG,84,299.9
DRCOG,85,291.5
DRCOG,86,391.7
DRCOG,87,635.5
DRCOG,88,351.2
DRCOG,89,413.3
DRCOG,90,3956.1
