zone_id,parks_3mi,golf_courses_3mi,schools_3mi,fast_food_3mi,restauraunt_3mi,supermarket_3mi,cafes_3mi
104,0,0,0,0,0,0,0
103,1,0,0,0,0,0,0
2614,0,0,0,0,0,0,0
2612,0,0,0,0,0,0,0
2611,0,0,1,0,0,0,0
2616,0,0,0,0,0,0,0
2724,0,0,0,0,0,0,0
2789,0,0,0,0,0,0,0
2788,0,0,2,0,0,0,0
2787,0,0,2,0,0,0,0
2615,0,0,0,0,0,0,0
2607,0,0,0,0,0,0,0
2608,0,0,0,0,0,0,0
2613,0,0,0,0,0,0,0
2767,0,0,0,0,0,0,0
2766,9,1,3,0,0,2,0
2791,4,0,3,0,0,1,0
2591,0,0,0,0,0,0,0
2609,0,0,0,0,0,0,0
2605,0,0,0,0,0,0,0
2593,0,0,0,0,0,0,0
2592,0,0,0,0,0,0,0
2768,2,0,0,0,0,0,0
2773,2,0,0,0,0,0,0
2795,10,1,6,0,0,1,0
2740,12,1,6,0,0,2,1
2606,0,0,0,0,0,0,0
2594,0,0,0,0,0,0,0
2587,0,0,0,0,0,0,0
2596,0,0,0,0,0,0,0
2603,0,0,0,0,0,0,0
2617,0,0,0,0,0,0,0
2602,0,0,0,0,0,0,0
2600,0,0,0,0,0,0,0
2769,0,0,1,0,0,0,0
2770,1,0,1,0,0,0,0
2765,3,0,2,0,0,0,0
2772,2,0,0,0,0,0,0
2796,5,1,2,0,0,1,0
2523,7,4,0,2,2,0,1
2477,2,0,0,0,0,0,0
2524,6,4,0,0,1,0,0
2478,2,0,2,8,9,3,3
2474,7,0,0,0,0,0,0
2475,11,3,0,2,2,0,1
2481,10,1,10,12,17,4,5
2585,3,2,7,6,10,0,5
2579,2,2,9,6,10,0,5
2586,0,2,3,0,0,0,0
2578,2,2,9,5,10,0,5
2576,0,0,3,0,0,0,0
2595,0,2,1,1,1,0,0
2582,4,3,8,6,10,0,5
879,10,0,3,1,0,0,0
910,13,0,4,1,0,0,0
878,4,0,1,1,0,0,0
877,0,0,1,0,0,0,0
2471,9,0,4,0,0,1,0
2470,15,0,0,3,9,2,3
2469,14,3,2,5,14,2,4
2473,2,1,4,0,0,1,0
2479,3,1,6,8,12,5,3
2480,7,1,7,8,14,5,4
2547,14,1,12,14,24,4,9
2548,6,1,12,14,22,3,9
2546,14,1,12,14,24,4,9
2532,13,2,9,12,17,4,5
2549,14,3,13,14,22,3,9
2583,4,3,9,6,10,0,5
2581,7,3,10,6,10,0,6
2584,3,2,9,6,10,0,5
2580,5,3,12,6,10,0,6
2570,5,2,12,6,10,0,5
2566,10,3,10,12,16,3,7
2565,6,3,8,6,10,0,5
880,11,0,3,1,0,0,0
889,10,1,2,1,0,0,0
888,12,2,1,1,0,0,0
882,4,1,1,0,0,0,0
881,9,0,1,1,0,0,0
949,12,1,3,1,0,0,0
927,12,0,3,1,0,0,0
926,13,0,3,1,0,0,0
2461,14,4,2,2,4,0,0
2462,26,0,1,8,15,2,4
2463,28,0,3,9,17,2,5
2554,13,3,12,14,22,3,9
2553,5,3,12,14,22,3,9
2550,14,3,13,14,22,3,9
2482,5,0,12,12,15,3,7
2545,14,1,12,14,24,4,9
2568,9,3,10,12,18,3,7
2569,6,3,11,12,18,3,8
2567,11,3,10,12,18,3,8
956,20,1,1,0,0,0,0
948,12,1,3,1,0,0,0
890,27,2,1,1,1,0,0
891,19,2,2,1,1,0,0
989,30,1,0,3,4,0,1
993,21,1,0,3,5,0,1
990,20,0,0,3,3,0,1
1168,2,0,1,0,0,0,0
992,19,0,2,3,4,0,0
1861,4,0,2,0,1,0,0
988,32,1,0,4,4,0,1
991,14,0,2,1,2,0,0
1859,5,0,2,0,1,0,0
973,35,1,0,4,4,0,1
2460,14,9,1,11,10,1,2
2421,27,9,14,13,12,3,4
2459,27,4,0,2,3,0,0
2423,17,6,8,8,5,2,1
2422,19,6,11,8,5,3,2
2410,21,6,13,8,4,2,3
2455,28,4,1,5,12,0,2
983,34,1,0,1,0,0,0
1017,43,2,1,1,1,0,0
1016,53,2,5,7,7,3,1
986,31,1,0,3,3,0,1
975,46,1,0,4,4,0,1
987,35,1,0,4,4,0,1
974,37,1,0,4,4,0,1
1405,25,0,14,17,14,0,1
1404,46,0,17,7,23,0,2
1401,48,0,15,7,23,0,2
2453,18,9,6,13,17,1,5
2419,28,9,10,21,25,2,6
2454,27,7,2,11,11,1,2
2446,25,6,2,15,20,1,4
980,41,1,2,2,1,0,0
1018,61,0,3,7,5,2,0
1019,67,2,7,7,8,3,1
978,27,2,0,2,2,0,1
982,29,2,1,2,1,0,1
976,34,2,0,3,3,0,1
957,28,2,1,1,1,0,0
981,24,2,1,3,3,0,1
962,25,1,1,3,3,0,1
979,26,0,0,1,0,0,1
985,24,0,0,1,0,0,0
977,36,1,0,3,3,0,1
963,33,1,0,3,4,0,1
1428,37,1,17,17,18,0,3
1429,44,1,20,31,37,1,9
1430,52,1,23,22,41,1,7
2452,22,10,6,18,22,1,6
2451,26,10,8,26,27,3,7
2448,25,10,6,18,21,1,6
2447,21,11,5,19,22,1,6
2449,26,10,7,27,27,2,7
2450,26,11,8,30,29,3,7
2418,26,11,8,29,27,3,7
