zone_id,btype,building_sqft_per_job
2,1,12665.9130435
2,11,1413.5
2,18,1260.51768953
3,17,551.312849162
3,18,1260.51768953
6,4,2240.41258741
6,9,12287.8795181
6,22,4325.51363141
7,4,2240.41258741
7,9,12287.8795181
7,22,4325.51363141
8,6,1793.9375
8,18,1260.51768953
8,22,4325.51363141
9,1,12665.9130435
9,4,2240.41258741
9,9,12287.8795181
9,17,551.312849162
9,18,1260.51768953
10,4,2240.41258741
11,4,2240.41258741
11,9,12287.8795181
11,14,194.0
11,22,4325.51363141
12,4,2240.41258741
12,11,1413.5
12,18,1260.51768953
12,23,618.875
13,4,2240.41258741
13,5,762.143462898
13,17,551.312849162
13,18,1260.51768953
13,19,5387.49557522
13,22,4325.51363141
15,8,1062.79032258
15,9,12287.8795181
15,16,3357.44839858
15,18,1260.51768953
15,22,4325.51363141
16,5,762.143462898
16,9,12287.8795181
16,18,1260.51768953
16,22,4325.51363141
17,5,762.143462898
17,18,1260.51768953
17,22,4325.51363141
18,1,12665.9130435
18,4,2240.41258741
18,5,762.143462898
18,8,1062.79032258
18,9,12287.8795181
18,16,3357.44839858
18,18,1260.51768953
18,22,4325.51363141
21,4,2240.41258741
22,1,12665.9130435
24,1,12665.9130435
24,21,1107.59090909
25,9,12287.8795181
27,1,12665.9130435
27,4,2240.41258741
27,5,762.143462898
27,18,1260.51768953
27,22,4325.51363141
28,18,1260.51768953
29,4,2240.41258741
29,22,4325.51363141
31,4,2240.41258741
31,5,762.143462898
31,18,1260.51768953
31,22,4325.51363141
32,5,762.143462898
32,22,4325.51363141
35,11,1413.5
35,18,1260.51768953
36,22,4325.51363141
38,18,1260.51768953
39,19,5387.49557522
39,22,4325.51363141
40,5,762.143462898
40,9,12287.8795181
40,22,4325.51363141
41,4,2240.41258741
43,5,762.143462898
43,18,1260.51768953
45,22,4325.51363141
46,4,2240.41258741
49,5,762.143462898
50,5,762.143462898
50,9,12287.8795181
50,17,551.312849162
50,18,1260.51768953
50,21,1107.59090909
50,22,4325.51363141
51,5,762.143462898
51,9,12287.8795181
51,18,1260.51768953
52,5,762.143462898
52,9,12287.8795181
52,19,5387.49557522
52,22,4325.51363141
53,9,12287.8795181
55,4,2240.41258741
55,5,762.143462898
55,16,3357.44839858
55,18,1260.51768953
58,9,12287.8795181
58,19,5387.49557522
58,22,4325.51363141
60,22,4325.51363141
66,19,5387.49557522
67,9,12287.8795181
67,11,1413.5
67,22,4325.51363141
71,9,12287.8795181
73,19,5387.49557522
75,4,2240.41258741
76,18,1260.51768953
78,8,1062.79032258
80,4,2240.41258741
80,9,12287.8795181
80,22,4325.51363141
82,9,12287.8795181
82,22,4325.51363141
83,18,1260.51768953
83,22,4325.51363141
90,5,762.143462898
93,5,762.143462898
93,18,1260.51768953
95,5,762.143462898
95,18,1260.51768953
98,9,12287.8795181
98,11,1413.5
98,18,1260.51768953
98,22,4325.51363141
100,5,762.143462898
100,9,12287.8795181
100,18,1260.51768953
100,22,4325.51363141
101,5,762.143462898
101,9,12287.8795181
101,17,551.312849162
101,18,1260.51768953
101,22,4325.51363141
103,22,4325.51363141
104,22,4325.51363141
106,5,762.143462898
106,18,1260.51768953
107,18,1260.51768953
109,5,762.143462898
109,18,1260.51768953
109,19,5387.49557522
109,22,4325.51363141
110,16,3357.44839858
111,18,1260.51768953
111,19,5387.49557522
114,5,762.143462898
114,18,1260.51768953
115,4,2240.41258741
115,19,5387.49557522
117,5,762.143462898
117,17,551.312849162
117,18,1260.51768953
117,22,4325.51363141
118,4,2240.41258741
118,5,762.143462898
118,9,12287.8795181
118,18,1260.51768953
118,19,5387.49557522
118,22,4325.51363141
120,5,762.143462898
120,18,1260.51768953
120,19,5387.49557522
121,5,762.143462898
121,19,5387.49557522
122,4,2240.41258741
123,4,2240.41258741
123,18,1260.51768953
123,22,4325.51363141
124,4,2240.41258741
124,5,762.143462898
124,8,1062.79032258
124,9,12287.8795181
124,17,551.312849162
124,18,1260.51768953
124,22,4325.51363141
124,23,618.875
125,5,762.143462898
125,18,1260.51768953
125,22,4325.51363141
126,5,762.143462898
126,16,3357.44839858
126,17,551.312849162
126,18,1260.51768953
126,22,4325.51363141
127,5,762.143462898
127,18,1260.51768953
