zone_id,emp_demand
1,11
2,74
3,52
4,112
6,441
7,60
8,87
9,194
10,94
11,215
12,79
13,259
15,86
16,187
17,130
18,50
19,25
20,1
21,21
22,406
23,317
24,116
25,264
26,1469
27,12
28,363
29,98
30,4
31,81
32,184
33,234
34,32
35,40
36,84
37,7
38,54
39,92
40,152
41,20
42,39
43,57
44,2
45,388
46,17
47,19
48,25
49,60
50,241
51,133
52,286
53,120
54,9
55,99
56,3
57,30
58,177
59,48
60,53
61,93
63,99
64,12
65,7
66,54
67,149
68,25
69,63
70,46
71,133
72,45
73,6
75,29
76,10
77,3
78,38
79,214
80,87
81,19
82,64
83,67
84,6
85,13
86,7
87,95
89,6
90,4
91,4
92,27
93,1097
94,2
95,61
96,46
97,132
98,50
99,15
100,121
101,146
102,168
103,215
104,859
105,8
106,89
107,3906
108,98
109,189
110,48
111,49
112,0
113,33
114,41
115,63
116,9
117,70
118,59
119,17
120,207
121,124
122,112
123,43
124,378
125,141
126,76
127,156
128,136
129,136
130,9
131,73
132,63
133,19
134,269
136,124
137,113
138,17
139,194
140,287
141,31
142,2
144,66
145,124
146,101
147,43
148,53
149,184
150,26
151,141
152,17
153,42
154,458
155,255
156,18
157,5
158,132
159,2
160,78
161,40
162,55
163,114
164,123
165,600
166,77
167,29
168,47
169,68
170,103
171,197
172,133
173,116
174,222
175,53
176,9
177,10
178,101
179,234
180,65
181,744
182,39
183,88
184,114
185,81
186,125
187,155
188,206
189,23
190,216
191,158
192,123
193,160
194,67
195,231
196,20
197,369
198,96
199,188
200,182
201,40
202,155
203,343
204,8
205,85
206,175
207,197
208,19
209,34
210,92
211,35
212,255
213,341
214,52
215,1
216,90
217,30
218,38
219,131
220,702
221,178
222,180
223,208
224,139
225,185
226,167
227,60
228,204
229,34
230,10
231,14
232,25
233,62
234,8
235,373
236,100
237,93
238,69
239,0
240,1588
241,27
242,85
243,9
244,86
245,141
246,132
247,46
248,39
249,31
250,4
252,46
255,212
256,11
257,126
258,144
259,32
260,49
261,53
262,318
263,70
264,9
265,12
266,96
267,74
268,168
269,16
270,5
271,4
272,145
275,34
276,42
277,110
278,100
279,22
280,98
281,135
282,2158
283,158
284,40
285,0
287,189
288,402
289,1757
290,110
291,1
292,839
293,127
294,52
295,8
296,45
297,74
299,23
300,158
301,241
302,215
304,5
305,312
306,105
307,105
308,1796
310,36
311,97
312,10
313,74
315,167
316,44
317,22
318,146
319,63
320,28
321,41
322,36
323,315
324,44
325,91
326,46
327,11
328,408
329,19
330,25
331,255
332,95
334,45
335,54
336,131
337,21
338,25
339,180
340,22
341,58
342,26
343,42
344,4
345,138
346,17
347,50
348,22
349,48
350,226
351,94
352,328
353,225
354,47
355,244
356,132
357,465
358,74
360,136
361,122
362,72
363,129
364,1535
365,308
366,703
367,114
368,129
369,369
370,161
371,74
372,137
373,43
374,88
375,161
376,379
377,351
378,221
379,139
380,320
381,142
382,48
383,130
384,164
385,46
386,43
387,164
388,164
389,179
390,62
391,61
392,143
393,86
394,174
395,70
396,324
397,79
398,135
399,70
400,34
401,12
402,7
403,665
404,187
405,71
406,28
407,20
408,6
409,33
410,25
411,18
412,226
413,50
414,32
415,11
417,23
419,285
420,152
421,55
422,56
423,105
424,25
425,26
428,11
429,2
430,28
431,146
432,27
433,908
434,53
435,4
436,4
437,85
438,34
439,21
440,89
441,49
442,177
443,45
444,270
445,141
446,8
449,15
450,165
451,235
452,11
453,96
454,56
455,47
456,23
457,40
458,14
459,85
460,56
461,102
462,34
463,103
464,256
465,26
466,38
467,5
468,59
469,54
470,159
471,59
472,59
473,100
474,36
475,296
476,74
477,26
478,42
479,100
480,101
481,43
482,82
483,17
484,56
485,70
486,8
487,59
488,33
489,10
490,19
491,3
492,25
493,17
494,53
495,84
496,4
497,27
498,43
499,20
500,17
501,3
502,0
503,96
504,32
505,133
506,364
507,11
508,40
509,21
510,87
511,266
512,12
513,479
514,138
515,142
516,1
517,73
518,66
519,28
520,69
521,59
522,31
523,46
524,78
525,153
526,46
527,84
528,227
529,39
530,61
531,1
532,1603
533,121
534,142
