alternative_id,probabilities,multiplier
1,0.000110482,0.032258065
2,0.000214265,0.669421488
3,0.000251234,0.450331126
4,0.000253256,0.926829268
5,0.000186382,0.010416667
6,0.000233882,0.784946237
7,0.000282923,0.812698413
8,0.000318137,0.581239531
9,0.000367579,1.032634033
10,0.000313134,0.747491639
11,0.000265916,0.811791383
12,0.00026452,0.592105263
13,0.000281711,0.887850467
14,5.56E-05,0
15,0.000234521,0.668041237
16,0.000273779,2.15282392
17,0.000282952,1.592814371
18,0.000240719,0.912114014
19,0.000148718,0.333333333
20,0.000207918,0.386075949
21,0.000253385,0.523529412
22,0.000344139,1.437833715
23,0.000340109,3.794871795
24,0.000247493,1.164383562
25,0.000265129,2.52892562
26,0.000354945,8.083682008
27,0.000297079,0.417553191
28,0.000379421,1.019125683
29,0.000265439,0.955719557
30,0.000162983,0.272727273
31,0.000262137,0.754
32,0.00052956,0.745906268
33,0.000293525,1.096610169
34,0.000218244,0.153846154
35,0.000225441,0.708661417
36,0.000215564,0.577922078
37,0.000117428,0.269230769
38,0.000357034,0.586080586
39,0.000343463,0.850909091
40,0.000595177,0.986382979
41,0.000288235,0.297352342
42,0.000221663,0.836363636
43,0.000240649,0.972677596
44,0.000194978,0.348066298
45,0.000223967,2.95890411
46,0.000201673,0.308510638
47,0.000232799,0.650190114
48,0.00024273,0.386178862
49,0.000275572,0.714285714
50,0.000410914,0.96476834
51,0.000317951,1.076660988
52,0.000308179,1.175329429
53,0.000339988,0.764840183
54,0.000161238,0.466666667
55,0.000279963,1.135770235
56,6.34E-05,0.730769231
57,0.000204404,0.696335079
58,0.000362198,0.810238305
59,0.000251434,0.624113475
60,0.000276171,0.192164179
61,0.000172055,0.208791209
62,0.000139692,0
63,0.000201667,1.689655172
64,0.000141413,0.375
65,0.000159467,0.461538462
66,0.000259556,0.87755102
67,0.000320821,0.731818182
68,0.000122434,0.333333333
69,0.00021384,0.677419355
70,0.000170879,0.657894737
71,0.000218744,1.555555556
72,0.000168753,0.705128205
73,0.000190243,0.592592593
74,0.000155564,0.337209302
75,0.000206901,0.757847534
76,0.000130768,0.518518519
77,7.68E-05,0.641221374
78,0.00017263,0.607476636
79,0.000358717,0.31871345
80,0.000238775,1.166392994
81,0.000236148,0.755555556
82,0.000337268,0.8578125
83,0.000283687,0.595679012
84,0.000186092,0.473684211
85,0.000158379,0.545454545
86,0.000147762,0.292682927
87,0.000250651,2.515463918
88,0.000136191,0
89,0.000212874,0.380952381
90,0.000161802,0.220338983
91,0.000192971,0.185714286
92,0.000158637,0.686390533
93,0.000310066,8.543543544
94,0.000193432,0.163090129
95,0.000203344,0.722580645
96,0.000178563,0.382608696
97,0.000175257,0.470588235
98,0.000296781,0.942687747
99,0.000200722,0.307692308
100,0.000352512,1.044647031
101,0.000384158,1.066666667
102,0.000246133,0.642105263
103,0.00026623,3.554878049
104,0.00034097,7.383259912
105,0.000230665,0.308219178
106,0.000279483,0.918067227
107,0.000354248,22.26278599
108,0.00023544,0.4375
109,0.000391967,1.215311005
110,0.000223674,0.735294118
111,0.000244213,0.655
112,0.000176128,0.5
113,7.16E-05,0.4
114,0.000404526,0.642156863
115,0.000400724,0.674418605
116,8.98E-05,0.648648649
117,0.000338609,0.911634757
118,0.000514603,0.778393352
119,0.000324632,0.444933921
120,0.000470915,0.739304813
121,0.000418964,0.874172185
122,0.000526934,0.40512334
123,0.000419367,0.346938776
124,0.000522978,0.965043695
125,0.000460603,1.072319202
126,0.000401868,0.80638587
127,0.000419856,0.613445378
128,0.000370339,0.487922705
129,0.000368063,0.790291262
130,9.11E-05,0.556818182
131,0.000229827,0.610294118
132,0.000241685,0.84
133,0.000257426,0.240223464
134,0.000309308,1.262357414
135,0.000100079,0.033898305
136,0.000273762,0.174193548
137,0.000351016,1.104440789
138,0.000256516,0.552197802
139,0.000190802,0.815513627
140,0.000302877,1.210659898
141,0.00017855,0.37254902
142,0.000154029,0.451612903
143,0.000164906,0.044776119
144,0.000273995,0.790830946
145,0.000384253,1.069651741
146,0.000213481,1.442622951
147,0.000225236,0.903100775
148,0.000258019,1.133928571
149,0.000209159,2.85
150,0.000193086,0.736842105
151,0.000228552,2.214285714
152,0.0001338,0.32
153,0.000186215,1.44
154,0.000267852,3.603448276
155,0.000257936,1.100871731
156,0.000262328,0.611111111
157,0.000249102,0.480434783
158,0.000357133,0.465256798
159,0.000107375,0.842105263
160,0.000594737,0.422261484
161,0.000343967,0.375
162,0.000325699,1.105666156
163,0.000589229,0.79303857
164,0.000609167,0.652680653
165,0.000630852,1.096654275
166,0.000292348,0.701612903
167,0.000416666,0.471615721
168,0.000313147,0.577512777
169,0.000239193,1
170,0.000295805,0.585152838
171,0.000542006,0.735576923
172,0.000662927,0.571428571
173,0.000421015,1.021657954
174,0.000452592,0.768421053
175,0.0003287,0.497695853
176,0.000176329,0.313432836
177,0.000287452,0.118589744
178,0.000284618,0.930693069
179,0.000367024,1.2226199
180,0.000451219,0.927745665
181,0.000391802,2.93129771
182,0.00025018,0.802919708
183,0.000281467,0.611510791
184,0.00033683,0.656
185,0.000332177,0.828125
186,0.000295726,0.851010101
187,0.00032242,1.051671733
188,0.00040086,0.616586538
189,0.000344043,0.492682927
190,0.000590585,0.981033355
191,0.000422239,1.274602239
192,0.000303732,1.069097075
193,0.000436534,1.075837743
194,0.000450278,0.459422283
195,0.000393078,1.234615385
196,0.000187498,0.437209302
197,0.000503085,0.945882353
198,0.000326404,1.414156627
199,0.000280675,1.717105263
