year,sector_id_six,home_based_status,county_id,total_number_of_jobs
2011,1,1,8001,74
2011,2,1,8001,135
2011,3,1,8001,3229
2011,4,1,8001,16
2011,5,1,8001,383
2011,6,1,8001,3936
2011,1,1,8005,106
2011,2,1,8005,150
2011,3,1,8005,2968
2011,4,1,8005,16
2011,5,1,8005,535
2011,6,1,8005,5277
2011,1,1,8013,100
2011,2,1,8013,112
2011,3,1,8013,1449
2011,4,1,8013,10
2011,5,1,8013,404
2011,6,1,8013,3600
2011,1,1,8014,12
2011,2,1,8014,11
2011,3,1,8014,244
2011,4,1,8014,0
2011,5,1,8014,51
2011,6,1,8014,414
2011,1,1,8019,1
2011,2,1,8019,2
2011,3,1,8019,51
2011,4,1,8019,1
2011,5,1,8019,9
2011,6,1,8019,71
2011,1,1,8031,119
2011,2,1,8031,204
2011,3,1,8031,2314
2011,4,1,8031,31
2011,5,1,8031,450
2011,6,1,8031,5500
2011,1,1,8035,69
2011,2,1,8035,112
2011,3,1,8035,1830
2011,4,1,8035,4
2011,5,1,8035,347
2011,6,1,8035,3287
2011,1,1,8039,1
2011,2,1,8039,5
2011,3,1,8039,178
2011,4,1,8039,0
2011,5,1,8039,14
2011,6,1,8039,153
2011,1,1,8047,0
2011,2,1,8047,0
2011,3,1,8047,18
2011,4,1,8047,0
2011,5,1,8047,4
2011,6,1,8047,13
2011,1,1,8059,124
2011,2,1,8059,155
2011,3,1,8059,3387
2011,4,1,8059,11
2011,5,1,8059,652
2011,6,1,8059,5616
2011,1,1,8123,2
2011,2,1,8123,9
2011,3,1,8123,341
2011,4,1,8123,0
2011,5,1,8123,35
2011,6,1,8123,305
2012,1,1,8001,87
2012,2,1,8001,152
2012,3,1,8001,3586
2012,4,1,8001,18
2012,5,1,8001,448
2012,6,1,8001,3956
2012,1,1,8005,103
2012,2,1,8005,150
2012,3,1,8005,2969
2012,4,1,8005,16
2012,5,1,8005,531
2012,6,1,8005,5888
2012,1,1,8013,100
2012,2,1,8013,112
2012,3,1,8013,1440
2012,4,1,8013,10
2012,5,1,8013,401
2012,6,1,8013,3579
2012,1,1,8014,12
2012,2,1,8014,10
2012,3,1,8014,243
2012,4,1,8014,0
2012,5,1,8014,50
2012,6,1,8014,411
2012,1,1,8019,1
2012,2,1,8019,2
2012,3,1,8019,50
2012,4,1,8019,1
2012,5,1,8019,9
2012,6,1,8019,70
2012,1,1,8031,119
2012,2,1,8031,205
2012,3,1,8031,2331
2012,4,1,8031,31
2012,5,1,8031,453
2012,6,1,8031,5504
2012,1,1,8035,71
2012,2,1,8035,114
2012,3,1,8035,1836
2012,4,1,8035,4
2012,5,1,8035,351
2012,6,1,8035,3315
2012,1,1,8039,2
2012,2,1,8039,5
2012,3,1,8039,179
2012,4,1,8039,0
2012,5,1,8039,15
2012,6,1,8039,158
2012,1,1,8047,0
2012,2,1,8047,0
2012,3,1,8047,18
2012,4,1,8047,0
2012,5,1,8047,4
2012,6,1,8047,13
2012,1,1,8059,124
2012,2,1,8059,155
2012,3,1,8059,3364
2012,4,1,8059,11
2012,5,1,8059,650
2012,6,1,8059,5580
2012,1,1,8123,2
2012,2,1,8123,9
2012,3,1,8123,340
2012,4,1,8123,0
2012,5,1,8123,35
2012,6,1,8123,308
2013,1,1,8001,103
2013,2,1,8001,174
2013,3,1,8001,3953
2013,4,1,8001,21
2013,5,1,8001,514
2013,6,1,8001,4027
2013,1,1,8005,102
2013,2,1,8005,152
2013,3,1,8005,2959
2013,4,1,8005,16
2013,5,1,8005,534
2013,6,1,8005,6457
2013,1,1,8013,100
2013,2,1,8013,112
2013,3,1,8013,1436
2013,4,1,8013,10
2013,5,1,8013,399
2013,6,1,8013,3564
2013,1,1,8014,12
2013,2,1,8014,10
2013,3,1,8014,243
2013,4,1,8014,0
2013,5,1,8014,50
2013,6,1,8014,410
2013,1,1,8019,1
2013,2,1,8019,2
2013,3,1,8019,50
2013,4,1,8019,1
2013,5,1,8019,9
2013,6,1,8019,70
2013,1,1,8031,120
2013,2,1,8031,203
2013,3,1,8031,2334
2013,4,1,8031,30
2013,5,1,8031,455
2013,6,1,8031,5501
2013,1,1,8035,73
2013,2,1,8035,113
2013,3,1,8035,1841
2013,4,1,8035,4
2013,5,1,8035,350
2013,6,1,8035,3335
2013,1,1,8039,2
2013,2,1,8039,6
2013,3,1,8039,178
2013,4,1,8039,0
2013,5,1,8039,15
2013,6,1,8039,160
2013,1,1,8047,0
2013,2,1,8047,0
2013,3,1,8047,18
2013,4,1,8047,0
2013,5,1,8047,4
2013,6,1,8047,13
2013,1,1,8059,119
2013,2,1,8059,153
2013,3,1,8059,3352
2013,4,1,8059,11
2013,5,1,8059,644
2013,6,1,8059,5552
2013,1,1,8123,2
2013,2,1,8123,9
2013,3,1,8123,339
2013,4,1,8123,0
2013,5,1,8123,35
2013,6,1,8123,303
2014,1,1,8001,114
2014,2,1,8001,186
2014,3,1,8001,4308
2014,4,1,8001,24
2014,5,1,8001,581
2014,6,1,8001,4178
2014,1,1,8005,102
2014,2,1,8005,158
2014,3,1,8005,2952
2014,4,1,8005,16
2014,5,1,8005,530
2014,6,1,8005,6942
2014,1,1,8013,99
2014,2,1,8013,111
2014,3,1,8013,1430
2014,4,1,8013,10
2014,5,1,8013,399
2014,6,1,8013,3542
2014,1,1,8014,12
2014,2,1,8014,10
2014,3,1,8014,241
2014,4,1,8014,0
2014,5,1,8014,50
2014,6,1,8014,409
2014,1,1,8019,1
2014,2,1,8019,2
2014,3,1,8019,49
2014,4,1,8019,1
2014,5,1,8019,9
2014,6,1,8019,70
2014,1,1,8031,119
2014,2,1,8031,202
2014,3,1,8031,2346
2014,4,1,8031,29
2014,5,1,8031,456
2014,6,1,8031,5527
2014,1,1,8035,77
2014,2,1,8035,117
2014,3,1,8035,1852
2014,4,1,8035,4
2014,5,1,8035,352
2014,6,1,8035,3354
2014,1,1,8039,2
2014,2,1,8039,8
2014,3,1,8039,178
2014,4,1,8039,0
2014,5,1,8039,15
2014,6,1,8039,162
2014,1,1,8047,0
2014,2,1,8047,0
2014,3,1,8047,18
2014,4,1,8047,0
2014,5,1,8047,4
2014,6,1,8047,13
2014,1,1,8059,118
2014,2,1,8059,150
2014,3,1,8059,3338
2014,4,1,8059,11
2014,5,1,8059,642
2014,6,1,8059,5509
2014,1,1,8123,3
2014,2,1,8123,9
2014,3,1,8123,338
2014,4,1,8123,0
2014,5,1,8123,34
2014,6,1,8123,297
2015,1,1,8001,131
2015,2,1,8001,207
2015,3,1,8001,4645
2015,4,1,8001,24
2015,5,1,8001,645
2015,6,1,8001,4489
2015,1,1,8005,99
2015,2,1,8005,156
2015,3,1,8005,2948
2015,4,1,8005,17
2015,5,1,8005,527
2015,6,1,8005,7241
2015,1,1,8013,99
2015,2,1,8013,109
2015,3,1,8013,1428
2015,4,1,8013,10
2015,5,1,8013,394
2015,6,1,8013,3519
2015,1,1,8014,11
2015,2,1,8014,10
2015,3,1,8014,240
2015,4,1,8014,0
2015,5,1,8014,50
2015,6,1,8014,407
2015,1,1,8019,1
2015,2,1,8019,1
2015,3,1,8019,49
2015,4,1,8019,1
2015,5,1,8019,9
2015,6,1,8019,70
2015,1,1,8031,118
2015,2,1,8031,205
2015,3,1,8031,2374
2015,4,1,8031,30
2015,5,1,8031,462
2015,6,1,8031,5551
2015,1,1,8035,78
2015,2,1,8035,118
2015,3,1,8035,1860
2015,4,1,8035,4
2015,5,1,8035,357
2015,6,1,8035,3387
2015,1,1,8039,2
2015,2,1,8039,8
2015,3,1,8039,179
2015,4,1,8039,0
2015,5,1,8039,15
2015,6,1,8039,166
2015,1,1,8047,0
2015,2,1,8047,0
2015,3,1,8047,18
2015,4,1,8047,0
2015,5,1,8047,4
2015,6,1,8047,13
2015,1,1,8059,118
2015,2,1,8059,150
2015,3,1,8059,3320
2015,4,1,8059,11
2015,5,1,8059,637
2015,6,1,8059,5472
2015,1,1,8123,3
2015,2,1,8123,9
2015,3,1,8123,336
2015,4,1,8123,0
2015,5,1,8123,34
2015,6,1,8123,298
2016,1,1,8001,143
2016,2,1,8001,226
2016,3,1,8001,4909
2016,4,1,8001,26
2016,5,1,8001,695
2016,6,1,8001,4579
2016,1,1,8005,98
2016,2,1,8005,153
2016,3,1,8005,2954
2016,4,1,8005,17
2016,5,1,8005,529
2016,6,1,8005,7610
2016,1,1,8013,98
2016,2,1,8013,109
2016,3,1,8013,1423
2016,4,1,8013,10
2016,5,1,8013,393
2016,6,1,8013,3506
2016,1,1,8014,11
2016,2,1,8014,10
2016,3,1,8014,237
2016,4,1,8014,0
2016,5,1,8014,49
2016,6,1,8014,406
2016,1,1,8019,1
2016,2,1,8019,1
2016,3,1,8019,49
2016,4,1,8019,1
2016,5,1,8019,9
2016,6,1,8019,70
2016,1,1,8031,119
2016,2,1,8031,203
2016,3,1,8031,2395
2016,4,1,8031,30
2016,5,1,8031,461
2016,6,1,8031,5572
2016,1,1,8035,79
2016,2,1,8035,120
2016,3,1,8035,1860
2016,4,1,8035,4
2016,5,1,8035,357
2016,6,1,8035,3400
2016,1,1,8039,3
2016,2,1,8039,8
2016,3,1,8039,178
2016,4,1,8039,0
2016,5,1,8039,14
2016,6,1,8039,169
2016,1,1,8047,0
2016,2,1,8047,0
2016,3,1,8047,18
2016,4,1,8047,0
2016,5,1,8047,4
2016,6,1,8047,13
2016,1,1,8059,115
2016,2,1,8059,148
2016,3,1,8059,3293
2016,4,1,8059,11
2016,5,1,8059,634
2016,6,1,8059,5438
2016,1,1,8123,3
2016,2,1,8123,9
2016,3,1,8123,337
2016,4,1,8123,0
2016,5,1,8123,35
2016,6,1,8123,302
2017,1,1,8001,154
2017,2,1,8001,241
2017,3,1,8001,5163
2017,4,1,8001,26
2017,5,1,8001,739
2017,6,1,8001,4642
2017,1,1,8005,97
2017,2,1,8005,153
2017,3,1,8005,2941
2017,4,1,8005,18
2017,5,1,8005,525
2017,6,1,8005,7996
2017,1,1,8013,96
2017,2,1,8013,108
2017,3,1,8013,1418
2017,4,1,8013,10
2017,5,1,8013,394
2017,6,1,8013,3487
2017,1,1,8014,11
2017,2,1,8014,10
2017,3,1,8014,236
2017,4,1,8014,0
2017,5,1,8014,49
2017,6,1,8014,404
2017,1,1,8019,1
