zone_id,emp_diff,hh_diff,emp_diff_pct,hh_diff_pct,emp_multiplier,hh_multiplier
1,-139,-4,-0.992857143,-0.028571429,1,1
2,-4815,-132,-0.983455882,-0.026960784,1,1
3,-3067,134,-0.97830941,0.042743222,1,1
4,-529,-70,-0.874380165,-0.115702479,1,1
5,-432,-136,-0.997690531,-0.31408776,1,1
6,-3714,-192,-0.944317315,-0.048817696,1,1
7,17,-18,0.071129707,-0.075313808,1,1
8,-316,152,-0.476621418,0.229260935,1,1
9,-3173,-553,-0.877488938,-0.152931416,1,1
10,-2091,-106,-0.823877069,-0.041765169,1,1
11,-3209,-392,-0.899635548,-0.109896271,1,1
12,-3722,-833,-0.964998704,-0.215970962,1,1
13,-1487,-747,-0.757900102,-0.380733945,1,1
14,-4,10,-1,2.5,1,1
15,-742,-961,-0.696060038,-0.901500938,1,1
16,147,-22,0.293413174,-0.043912176,1,1
17,243,-164,0.84083045,-0.567474048,1,1
18,-1845,10,-0.827725437,0.004486317,1,1
19,-84,94,-0.857142857,0.959183673,1,1
20,-136,11,-0.69035533,0.055837563,1,1
21,-75,-83,-0.457317073,-0.506097561,1,1
22,1314,151,2.301225919,0.264448336,1,1
23,283,-300,1.757763975,-1.863354037,1,1
24,-159,48,-0.483282675,0.145896657,1,1
25,293,18,22.53846154,1.384615385,1,1
26,1337,63,2.247058824,0.105882353,1,1
27,-134,-476,-0.4604811,-1.635738832,1,1
28,299,-74,4.040540541,-1,1,1
29,-478,-92,-0.648575305,-0.124830393,1,1
30,21,4,7,1.333333333,1,1
31,-441,204,-0.539119804,0.249388753,1,1
32,1041,-51,3.717857143,-0.182142857,1,1
33,4529,0,#DIV/0!,1,1,1
34,10,17,2.5,4.25,1,1
35,-811,-5,-0.818365288,-0.005045409,1,1
36,-15,-133,-0.144230769,-1.278846154,1,1
37,6,-2,6,-2,1,1
38,154,-13,25.66666667,-2.166666667,1,1
39,459,-396,51,-44,1,1
40,-2309,-406,-0.665801615,-0.117070358,1,1
41,-3869,68,-0.963636364,0.016936488,1,1
42,21,-9,0.84,-0.36,1,1
43,-1306,5,-0.880053908,0.003369272,1,1
44,-100,-150,-0.613496933,-0.920245399,1,1
45,-2,8,-0.009174312,0.036697248,1,1
46,-21,-80,-0.42,-1.6,1,1
47,-507,-368,-0.747787611,-0.542772861,1,1
48,-600,348,-0.863309353,0.500719424,1,1
