zone_id,hh_sim,emp_sim
1,6,1
2,309,79
3,78,76
4,136,36
5,27,1
6,914,212
7,148,174
8,338,358
9,1049,388
10,291,451
11,1067,346
12,955,142
13,574,494
14,13,
15,481,361
16,182,292
17,162,229
18,324,366
19,130,13
20,125,46
21,159,65
22,316,1185
23,166,69
24,129,72
25,25,20
26,228,123
27,370,163
28,45,225
29,190,209
30,24,11
31,696,444
32,238,1211
33,4,4118
34,8,6
35,330,144
36,40,88
37,3,
38,5,146
39,1,434
40,259,1044
41,316,143
42,12,
43,683,165
44,73,29
45,91,47
46,53,28
47,618,187
48,578,104
49,422,183
50,129,1900
51,,1169
52,4,2771
53,156,341
54,45,42
55,325,344
56,72,20
57,1390,135
58,191,880
59,474,102
60,409,265
61,49,14
62,9,
63,33,4
64,9,21
65,63,11
66,37,83
67,677,157
68,157,44
69,388,60
70,29,20
71,21,14
72,27,127
73,18,40
74,40,32
75,29,120
76,,28
77,590,99
78,264,65
79,558,139
80,11,1868
81,26,26
82,196,550
83,19,389
84,26,33
85,54,14
86,13,8
87,25,114
88,4,
89,336,44
90,518,42
91,18,5
92,486,122
93,124,261
94,61,31
95,396,128
96,91,37
97,97,29
98,8,462
99,1,28
100,,4314
101,12,1635
102,48,39
103,122,80
104,79,119
105,55,25
106,12,419
107,324,101
108,168,48
109,480,508
110,461,76
111,528,156
112,56,13
113,28,2
114,587,304
115,829,221
116,635,29
117,78,608
118,670,241
119,444,106
120,606,568
121,1049,167
122,541,341
123,316,72
124,551,707
125,255,248
126,214,1152
127,874,116
128,689,142
129,741,374
130,280,59
131,320,81
132,218,153
133,142,78
134,23,137
135,5,2
136,20,58
137,44,1156
138,11,172
139,17,428
140,28,755
141,43,39
142,9,42
143,2,
144,571,261
145,605,684
146,21,5
147,281,243
148,40,92
149,58,9
150,33,6
151,41,23
152,69,16
153,4,6
154,84,128
155,4,783
156,54,90
157,1361,261
158,386,156
159,1204,158
160,632,247
161,614,65
162,105,526
163,982,932
164,790,598
165,761,2015
166,15,182
167,568,106
168,746,366
169,34,107
170,1034,153
171,842,644
172,807,641
173,61,1240
174,856,358
175,645,123
176,216,29
177,35,5
178,23,131
179,4,1266
180,86,624
181,146,1131
182,,442
183,513,96
184,154,185
185,23,497
186,79,293
187,83,1983
188,522,564
189,567,118
190,380,1291
191,3,1738
192,4,2228
193,516,1489
194,648,357
195,1439,447
196,685,109
197,777,617
198,169,596
199,57,62
200,11,88
201,126,178
202,370,86
203,75,274
204,244,82
205,116,101
206,12,26
207,204,312
208,276,87
209,179,68
210,99,771
211,696,201
212,99,706
213,475,569
214,710,482
215,36,8
216,28,38
217,25,7
218,19,112
219,616,434
220,1296,631
221,668,438
222,314,389
223,755,317
224,442,229
225,661,683
226,91,174
227,934,446
228,110,155
229,177,119
230,86,26
231,43,76
232,28,59
233,21,10
234,223,108
235,105,2225
236,661,296
237,1087,1187
238,491,75
239,777,151
240,571,1338
241,493,69
242,635,418
243,5,16
244,885,687
245,465,243
246,6,1105
247,431,460
248,4,482
249,3,457
250,56,17
251,,
252,18,2804
253,,2
254,,
255,477,193
256,11,29
257,6,2198
258,35,1328
259,1212,238
260,4,438
261,,86
262,2,56
263,9,400
264,39,19
265,35,26
266,4,883
267,28,349
268,180,542
269,42,192
270,6,9
271,3,7
272,13,66
273,,
274,,10
275,31,1006
276,139,81
277,334,710
278,394,112
279,426,140
280,495,463
281,1452,97
282,,344
283,1071,456
284,184,119
285,7,12
286,,
287,1117,1221
288,734,515
289,15,8898
290,674,354
291,1,395
